_sort,id,published,name,pre_headline,title,lead_text,embedded_html_base_name,language_code,urlname,slug,link,_request,_article_bib_key,how_to_cite,pure_html_asset,pure_pdf_asset,doi,created_at,page_layout,tag_page_type,tag_media,tag_content_type,tag_language,tag_institution,tag_canton,tag_project,tag_public,tag_references,tag_footnotes,ref_bib_keys,references_asset_url,_further_refs,further_references_asset_url,_depends_on,_to_do_on_the_portal,assigned_authors,intro_image_asset,intro_image_portal,audio_assets,audios_portal,video_assets,videos_portal,pdf_assets,pdfs_portal,picture_assets,pictures_portal,text_and_picture_assets,text_and_pictures_portal,box_assets,_attachment_links_assets,attachment_links_portal,has_html_header_tags,links_in_text_or_embed_blocks,themetags_discipline,themetags_focus,themetags_structural,status,changes_made,error_message,error_trace,,
34,20,,Layoutroot for Deutsch,,,,,de,layoutroot-for-deutsch,/de/layoutroot-for-deutsch,https://www.philosophie.ch/de/layoutroot-for-deutsch,GET,,,,,,2016-10-19,,service page,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505,24,,Über uns,<p>Wer steckt hinter dem Portal?</p>,Über uns,<p>Hinter dem Philosophieportal steckt der Verein <em>Philosophie.ch.</em></p>,,de,ueberuns,/de/ueberuns,https://www.philosophie.ch/de/ueberuns,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,logo-philo-ch-round.png,Philosophie.ch logo kleiner vekto.svg,,,,,,,,,,,"philo-ch-team.svg, philo-ch-comite.svg, philo-ch-patronage.svg, philo-ch-asso.svg, philo-ch-statuten.svg, philo-ch-become-member.svg, philo-ch-collaborate.svg, philo-ch-newsletter.svg, philo-ch-support.svg, philo-ch-area-editors.svg, philo-ch-dltc-ec.svg, philo-ch-oa-initiative.svg, philo-ch-credo.svg, philo-ch-transparency.svg, philo-ch-statistics.svg, philo-ch-research.svg, philo-ch-activities.svg, philo-ch-job-offers.svg, philo-ch-interns.svg, philo-ch-our-publications.svg, philo-ch-history.svg, philo-ch-team-history.svg, philo-ch-partners.svg, philo-ch-cooperate.svg, philo-ch-ambassadors.svg, philo-ch-friends.svg, philo-ch-media.svg, philo-ch-outreach.svg, philo-ch-our-logos.png, philo-ch-our-posters.svg, philo-ch-impressum.svg, philo-ch-agb.svg, philo-ch-contact.svg",,,,,,,,,intro_image_portal: {{  }} => {{ Philosophie.ch logo kleiner vekto.svg }},,,,
3521,25,,Verein,,Verein Philosophie.ch,,,de,verein,/de/verein,https://www.philosophie.ch/de/verein,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-asso.svg,vekto our team.svg,,,,,,,,,,,,,,,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vekto our team.svg }},,,,
3567,27,,Kontakt,,Kontakt,,,de,kontakt,/de/kontakt,https://www.philosophie.ch/de/kontakt,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-contact.svg,vekto contact.svg,,,,,,,,,,,,,,,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vekto contact.svg }},,,,
3622,28,,FAQ,,FAQ,<p>Sie haben Fragen zum Portal? Hier finden Sie die Antworten!</p>,,de,faq,/de/faq,https://www.philosophie.ch/de/faq,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,philo-ch-faq.svg,vekto faq.svg,,,,,,,,,,,"philo-ch-how-to-manage-a-profile.svg, philo-ch-how-to-post.svg, philo-ch-how-to-submit-an-article.svg, philo-ch-how-to-announce-event.svg, philo-ch-how-to-comment.svg, philo-ch-how-to-protect-your-work.svg",,,,,,,,,intro_image_portal: {{  }} => {{ vekto faq.svg }},,,6,
3517,31,,Patronatskomitee,"<p>Menschen, die uns den Rücken stärken</p>",Patronatskomitee,"<p>Das Patronatskomitee hat sich zum Ziel gesetzt, das Projekt ideell zu unterstützen und sich für die Förderung der Philosophie und von <em>Philosophie.ch</em> einzusetzen</p>",,de,patronatskomitee,/de/patronatskomitee,https://www.philosophie.ch/de/patronatskomitee,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-patronage.svg,Patronatskomitee.svg,,,,,,,,,,,,,,,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ Patronatskomitee.svg }},,,,
3541,32,,Botschafter:innen,,Botschafter:innen,<p>Wir danken unseren Botschafter:innen für Ihre Unterstützung!</p>,,de,botschafter-innen,/de/botschafter-innen,https://www.philosophie.ch/de/botschafter-innen,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-ambassadors.svg,vekto ambassadors.svg,,,,,,,,,"people-otfried-hoeffe.png, people-matthias-zehnder.png, people-olivia-bosshart.png, people-philipp-burkard.png","otfried-hoeffe.png, matthias-zehnder.png, olivia-bosshard.png, philipp-burkhard.png",,,,,,,,,,"tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vekto ambassadors.svg }} ;;; text_and_pictures_portal: {{  }} => {{ otfried-hoeffe.png, matthias-zehnder.png, olivia-bosshard.png, philipp-burkhard.png }}",,,,
3545,34,,Kooperationen,,Kooperationen und Partnerschaften,<p>Mithilfe der Kooperationen kann <em>Philosophie.ch</em> Veranstaltungen und andere Angebote effektiver durchführen. Wir danken!</p> <hr>,,de,kooperationen,/de/kooperationen,https://www.philosophie.ch/de/kooperationen,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-cooperate.svg,vekto kooperation.svg,,,,,,,,,"logo-philosophieren-mit-organisationen.png, logo-Brand.png, logo-fliegenglas.png, logo-KION.png, logo-KarlDerGrosse.png, logo-lange-nacht-der-philosophie.png, logo-stapferhaus.png, logo-philExpo22-de.png","dampfzentrale logo.png, brandpictures logo.png, fliegenglas logo lang.png, kion grosseres logo.png, stadt zürich gross karl der grosse.png, lnlogo.png, stapferhaus new logo.png, cover-portale-logo+date-de.png",,,,,,,,,,"lead_text: {{ <p>Mithilfe der Kooperationen kann <em>Philosophie.ch</em> Veranstaltungen und andere Angebote effektiver durchführen. Wir danken!</p> <hr> }} => {{ <p>Mithilfe der Kooperationen kann <em>Philosophie.ch</em> Veranstaltungen und andere Angebote effektiver durchführen. Wir danken!</p> <hr> }} ;;; tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vekto kooperation.svg }} ;;; text_and_pictures_portal: {{  }} => {{ dampfzentrale logo.png, brandpictures logo.png, fliegenglas logo lang.png, kion grosseres logo.png, stadt zürich gross karl der grosse.png, lnlogo.png, stapferhaus new logo.png, cover-portale-logo+date-de.png }}",,,,
3553,36,,Finanzierungspartner,,Finanzierungspartner,<p>Erfahren Sie mehr zu unseren Finanzierungspartnern. Wir danken!</p>,,de,finanzierungspartner,/de/finanzierungspartner,https://www.philosophie.ch/de/finanzierungspartner,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-partners.svg,vekto partners.svg,,,,,,,,,,,,,,,,,,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vekto partners.svg }},,,,
3537,39,,Geschichte des Portals,,Geschichte des Portals,<p>Das Portal <em>Philosophie.ch</em> feierte im Jahr 2022 sein 25-jähriges Bestehen!  </p> <p>Willkommener Anlass für eine kleine Rückschau.</p>,,de,geschichte-des-portals,/de/geschichte-des-portals,https://www.philosophie.ch/de/geschichte-des-portals,GET,,,,,,2016-10-19,standard,portal page,,,German,,,,,,,,,,,,,,philo-ch-history.svg,vekto history.svg,,,,,"history-newsletter2014.pdf, history-flyer-2017.pdf, history-Kalender2020.pdf",,"history-logo-2008.jpg, history-logo-2010.jpg, people-sandro-raess.png, history-Portal-2017.png, history-2018-Interessensgebiete.jpg, history-kairo2019.png, history-philExpo_prasentation_may16.jpg","logo-2008.jpg, logo-2010.jpg, people-sandro-raess.png, Portal-2017.png, 2018-Interessensgebiete.jpg, 2019_thumb_kairo_clean.png, philExpo_prasentation_may16.jpg","people-anja-leser.png, people-fabrice-correia.png","thumb_anja.png, correia-fabrice.png",,,"FinanzierungspraesentationHPmars09.pdf, Flyer-Philosophie_front_2013.pdf, Konzept-Februar21-de.pdf, Konzept-Februar21-fr.pdf, Konzept-Februar21-it.pdf, Protokoll-Mai-deutsch.pdf, Protokoll-Mai-englisch.pdf, pv_13_06_2020.pdf, report_30.08.pdf, Protokoll-Maerz2021.pdf, Dossier presentation philEXPO22_VF.pdf, PhilExpo22-Concept-ita.pdf, EXPO_Konzeptdossier_VersionMai.pdf, Dossier-philExpo22.pdf, Broschüre-philExpo22-deutsch.pdf, Broschüre-philExpo22-franzoesisch.pdf, Broschüre-philExpo22-italienisch.pdf, Newsletter_6_14 copy.pdf, Flyer-dt-2017.pdf, Flyer-fr-2017.pdf, Kalender2020 copy.pdf",,,,,,,"intro_image_portal: {{  }} => {{ vekto history.svg }} ;;; pdf_assets: {{ history-newsletter2014.pdf,history-flyer-2017.pdf,history-Kalender2020.pdf }} => {{ history-newsletter2014.pdf, history-flyer-2017.pdf, history-Kalender2020.pdf }} ;;; picture_assets: {{ history-logo-2008.jpg,history-logo-2010.jpg,people-sandro-raess.png,history-Portal-2017.png,history-2018-Interessensgebiete.jpg,history-kairo2019.png,history-philExpo_prasentation_may16.jpg }} => {{ history-logo-2008.jpg, history-logo-2010.jpg, people-sandro-raess.png, history-Portal-2017.png, history-2018-Interessensgebiete.jpg, history-kairo2019.png, history-philExpo_prasentation_may16.jpg }} ;;; pictures_portal: {{  }} => {{ logo-2008.jpg, logo-2010.jpg, people-sandro-raess.png, Portal-2017.png, 2018-Interessensgebiete.jpg, 2019_thumb_kairo_clean.png, philExpo_prasentation_may16.jpg }} ;;; text_and_picture_assets: {{ people-anja-leser.png,people-fabrice-correia.png }} => {{ people-anja-leser.png, people-fabrice-correia.png }} ;;; text_and_pictures_portal: {{  }} => {{ thumb_anja.png, correia-fabrice.png }}",,,,
3046,44,,Disziplin Praktische Philosophie,<p>Erfahren Sie mehr über die</p>,Praktische Philosophie,"<p>Hier finden Sie alle Beiträge auf dem Portal aus dem Bereich der praktischen Philosophie, wie beispielsweise zur Ethik, der politischen Philosophie oder der Kulturtheorie.</p>",,en-UK,praktische-philosophie,/praktische-philosophie,https://www.philosophie.ch/praktische-philosophie,GET,,,,,,2016-10-27,topic,portal page,,,German,,,,,,,,,,,,,,discipline-praktische-philosophie.svg,vek praktische philo.svg,,,,,,,,,,,,,,,,"Angewandte Ethik, Ethique & éthique appliquée, Etica applicata, Applied Ethics, Theoretische Ethik, Méta-éthique, Etica teorica, Meta-Ethics, Politische Philosophie, Philosophie politique, Filosofia politica, Political Philosophy, Ästhetik, Esthétique, Estetica, Aesthetics",,,,tag_page_type: {{  }} => {{ portal page }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ vek praktische philo.svg }},,,,
3042,45,,Disziplin Theoretische Philosophie,<p>Erfahren Sie mehr über die</p>,Theoretische Philosophie,"<p>Hier finden Sie alle Beiträge auf dem Portal Philosophie.ch aus dem Bereich der theoretischen Philosophie, wie beispielsweise zur Logik, der Philosophie des Geistes oder der Erkenntnistheorie.</p>",,en-UK,theoretische-philosophie,/theoretische-philosophie,https://www.philosophie.ch/theoretische-philosophie,GET,,,,,,2016-10-27,topic,portal page,,,German,,,,,,,,,,,,,,discipline-theoretische-philosophie.svg,Theoretische Philosophie.svg,,,,,,,,,,,,,,,,"Metaphysik, Erkenntnistheorie, Wissenschaftsphilosophie, Logik, Ideengeschichte, Philosophie des Geistes, Sprachphilosophie, Hermeneutik, Phänomenologie, Ästhetik",,,,"intro_image_portal: {{  }} => {{ Theoretische Philosophie.svg }} ;;; themetags_discipline: {{ Philosophie des Sozialen, Philosophie sociale, Filosofia sociale, Social Philosophy, Kulturtheorie, Philosophie de la culture, Filosofia della cultura, Philosophy of Culture, Rechtsphilosophie, Philosophie du droit, Filosofia del diritto, Philosophy of Law,  Metaphysik, Métaphysique, Metafisica, Metaphysics, Erkenntnistheorie, Epistémologie, Epistemologia, Epistemology, Wissenschaftsphilosophie, Philosophie des sciences, Filosofia della scienza, Philosophy of Science, Geschichtsphilosophie, Philosophie de l'histoire, Filosofia della storia, Philosophy of History, Logik, Logique formelle, Logica formale, Logic, Philosophie des Geistes, Philosophie de l'esprit, Filosofia della mente, Philosophy of Mind, Sprachphilosophie, Philosophie du langage, Filosofia del linguaggio, Philosophy of Language, Hermeneutik, Herméneutique, Ermeneutica, Hermeneutics, Phänomenologie, Phénoménologie, Fenomenologia, Phenomenology, Philosophie der Geistes- und Sozialwissenschaften, Philosophie des sciences humaines et sociales, Filosofia delle scienze umane e sociali, Philosophy of Human and Social Sciences, Religionsphilosophie, Philosophie de la religion, Filosofia della religione, Philosophy of Religion, Philosophische Anthropologie, Anthropologie philosophique, Antropologia filosofica, Philosophical Anthropology, Kritische Theorie, Théorie critique, Teoria critica, Critical Theory, Philosophie der Pädagogik, Philosophie de la pédagogie, Filosofia della pedagogia, Philosophy of Pedagogy, Philosophie der Psychologie, Philosophie de la psychologie, Filosofia della psicologia, Philosophy of Psychology }} => {{ Metaphysik, Erkenntnistheorie, Wissenschaftsphilosophie, Logik, Ideengeschichte, Philosophie des Geistes, Sprachphilosophie, Hermeneutik, Phänomenologie, Ästhetik }}",,,,
2968,46,,Einstieg in die Philosophie,,Einstieg in die Philosophie,,,de,einstieg,/de/einstieg,https://www.philosophie.ch/de/einstieg,GET,,,,,,2016-10-19,topic,portal page,,,German,,,,,,,,,,,,,,our-pic-philo-intro.jpeg,ancient greek dudes.jpg,,,,,,,,,,,"discipline-logica-conoscenza-scienza.jpg, discipline-menschsein-und-sprache.svg, discipline-ethik-gesellschaft-kultur.svg, discipline-theoretische-philosophie.svg, discipline-praktische-philosophie.svg, discipline-geschichte-der-philosophie.svg, our-pic-starters-kit.png, our-pic-grosse-fragen.svg, our-pic-philo-unterricht-einfuehrung.jpeg, our-pic-einfuehrungsliteratur.png, our-pic-mentorat.svg, our-pic-fachschaften.png",,,,,,,,,intro_image_portal: {{  }} => {{ ancient greek dudes.jpg }},,,12,
